
"----------------------------------" Loading track: trackMossad.txt
-79 
("POS: (18 12) VEL: (0 0) ACT: NIL COST: 0
"
 "POS: (17 12) VEL: (-1 0) ACT: (-1 0) COST: 1
"
 "POS: (15 11) VEL: (-2 -1) ACT: (-1 -1) COST: 1
"
 "POS: (13 9) VEL: (-2 -2) ACT: (0 -1) COST: 1
"
 "POS: (11 7) VEL: (-2 -2) ACT: (0 0) COST: 1
"
 "POS: (8 6) VEL: (-3 -1) ACT: (-1 1) COST: 1
"
 "POS: (5 6) VEL: (-3 0) ACT: (0 1) COST: 1
"
 "POS: (3 7) VEL: (-2 1) ACT: (1 1) COST: 1
"
 "POS: (2 9) VEL: (-1 2) ACT: (1 1) COST: 1
"
 "POS: (1 12) VEL: (-1 3) ACT: (0 1) COST: 1
"
 "POS: (1 16) VEL: (0 4) ACT: (1 1) COST: 1
"
 "POS: (1 21) VEL: (0 5) ACT: (0 1) COST: 1
"
 "POS: (1 26) VEL: (0 5) ACT: (0 0) COST: 1
"
 "POS: (2 31) VEL: (1 5) ACT: (1 0) COST: 1
"
 "POS: (4 35) VEL: (2 4) ACT: (1 -1) COST: 1
"
 "POS: (7 38) VEL: (3 3) ACT: (1 -1) COST: 1
"
 "POS: (10 40) VEL: (3 2) ACT: (0 -1) COST: 1
"
 "POS: (12 41) VEL: (2 1) ACT: (-1 -1) COST: 1
"
 "POS: (13 41) VEL: (1 0) ACT: (-1 -1) COST: 1
"
 "POS: (14 40) VEL: (1 -1) ACT: (0 -1) COST: 1
"
 "POS: (14 38) VEL: (0 -2) ACT: (-1 -1) COST: 1
"
 "POS: (15 36) VEL: (1 -2) ACT: (1 0) COST: 1
"
 "POS: (16 35) VEL: (1 -1) ACT: (0 1) COST: -100
") 
"----------------------------------" 
